GeneSymbol	A21_05_C2_P5_545951	A21_05_C2_P5_384994	A21_05_C2_P5_221712	A21_05_C2_P5_601556	A21_05_C2_P5_49590	A21_05_C2_P5_118756	A21_05_C2_P5_203250	A21_05_C2_P5_654053	A21_05_C2_P5_883316	A21_05_C2_P5_70210	A21_05_C2_P5_549054	A21_05_C2_P5_426546	A21_05_C2_P5_594341	A21_05_C2_P5_463199	A21_05_C2_P5_848473	A21_05_C2_P5_709356	A21_05_C2_P5_871294	A21_05_C2_P5_568837	A21_05_C2_P5_326028	A21_05_C2_P5_74255	A21_05_C2_P5_458390	A21_05_C2_P5_638128	A21_05_C2_P5_12534	A21_05_C2_P5_602273	A21_05_C2_P5_474110	A21_05_C2_P5_365897	A21_05_C2_P5_876552	A21_05_C2_P5_709733	A21_05_C2_P5_436945	A21_05_C2_P5_1191	A21_05_C2_P5_473595	A21_05_C2_P5_618353	A21_05_C2_P5_631078	A21_05_C2_P5_762777	A21_05_C2_P5_711218	A21_05_C2_P5_94948	A21_05_C2_P5_441382	A21_05_C2_P5_145873	A21_05_C2_P5_319708	A21_05_C2_P5_560698	A21_05_C2_P5_716471	A21_05_C2_P5_884718
MTHFD2	1.423	0.459	1.188	0.833	1.126	1.876	1.338	2.097	0.897	1.670	0.891	1.943	2.048	1.189	0.934	0.000	1.851	0.949	0.963	2.049	0.994	1.661	1.706	1.335	2.026	1.896	2.046	1.359	1.088	1.411	1.668	0.000	2.026	0.000	0.000	1.586	1.304	1.865	0.872	0.000	0.972	0.000
MTUS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MUC20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MX1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MX2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MXD3	0.000	0.000	0.451	0.000	0.000	0.000	0.532	0.000	0.000	0.891	0.000	0.000	0.000	0.566	0.000	0.000	0.000	0.000	0.000	0.000	0.615	0.000	0.000	0.000	0.000	0.000	0.000	0.675	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.456	0.000
MXRA5	0.000	0.000	0.000	0.000	0.527	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MYADM	1.704	0.773	1.486	1.715	2.156	1.764	1.652	2.398	2.019	1.149	2.265	1.702	0.916	2.061	1.408	1.401	1.965	1.216	1.768	1.477	1.482	2.057	1.309	2.422	1.561	1.563	1.358	1.761	1.088	0.710	0.730	1.663	2.026	0.827	0.000	1.278	1.304	1.865	1.331	1.438	1.780	2.194
MYBL1	0.642	0.000	0.761	0.833	0.000	0.525	0.000	0.539	0.546	0.000	0.542	0.558	0.000	0.566	0.572	0.000	0.569	0.000	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.664	0.674	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000
MYBL2	0.000	0.459	0.000	0.000	0.000	0.000	0.878	0.000	0.546	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.593	0.000	0.000	0.000	0.642	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.730	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.972	0.000
MYC	0.000	0.000	0.000	0.501	0.527	0.000	0.000	0.539	0.000	0.000	0.891	0.914	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.341	0.000	0.674	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.860	0.000	0.958	0.000	0.000
MYL9	1.783	0.773	1.607	1.282	1.880	2.152	1.652	2.005	1.533	1.670	1.670	1.555	2.375	0.926	1.971	0.928	1.403	1.427	1.619	0.000	2.252	2.340	2.105	2.137	1.561	1.342	1.760	2.605	1.779	1.819	1.441	1.663	2.026	1.581	1.598	1.278	1.304	2.586	2.074	1.438	2.025	1.943
MYLK	0.854	0.459	0.000	0.000	0.000	0.000	0.000	0.000	0.897	0.542	0.000	0.558	0.000	0.566	0.000	0.568	0.000	0.000	0.963	0.613	0.615	0.617	1.030	0.659	0.000	0.000	0.000	1.074	0.000	0.710	1.147	0.000	0.000	0.000	0.000	0.831	0.000	0.000	0.000	0.958	0.000	0.000
MYLPF	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MYO10	0.371	1.204	0.000	0.501	0.000	0.000	0.000	0.000	0.546	0.000	0.000	0.000	0.560	0.566	0.572	0.568	0.569	0.000	0.000	0.613	0.000	0.617	0.642	0.659	0.000	0.000	0.000	1.074	0.000	0.000	1.441	0.000	0.000	0.827	0.000	0.000	0.000	0.000	0.000	0.958	0.972	1.096
MYO1B	0.854	0.459	0.000	0.501	2.073	1.325	1.778	1.904	1.156	1.149	1.150	1.384	1.705	0.566	2.402	0.568	1.851	1.749	0.000	0.613	1.659	0.995	1.527	1.335	1.561	1.342	1.579	0.000	1.375	1.411	2.008	1.143	0.741	0.827	1.289	0.000	0.000	0.860	0.872	0.958	0.972	1.943
MYO1D	0.000	0.000	0.000	0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.560	0.000	0.934	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.831	0.000	0.000	0.000	0.000	0.000	0.000
MZT1	0.854	0.459	0.451	1.082	0.527	0.000	0.532	0.887	0.546	0.542	1.150	0.000	0.560	0.926	0.000	0.568	0.000	0.000	0.000	1.263	0.615	0.617	0.000	1.053	1.058	0.000	0.674	1.359	1.088	0.000	0.730	0.000	1.161	0.000	1.289	0.000	1.615	0.000	0.872	0.000	0.000	0.000
N4BP2	1.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.659	0.663	0.000	0.000	0.675	0.000	0.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NAA15	0.371	0.459	0.451	1.282	0.000	0.868	0.000	1.350	0.546	0.542	1.150	0.000	0.000	0.566	0.572	0.928	0.569	1.216	0.593	0.000	0.615	0.617	0.642	0.659	0.663	1.060	0.674	0.675	1.088	0.710	0.730	0.000	0.000	0.827	1.289	0.000	0.000	0.860	0.000	0.958	0.972	0.000
NABP1	0.371	0.000	0.000	0.000	0.000	0.868	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.000	0.000	0.000	0.593	0.000	0.000	0.617	1.030	0.659	0.000	0.000	0.674	0.000	0.000	0.710	0.000	0.000	0.000	0.827	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.096
NAMPT	0.371	0.459	0.761	0.501	0.871	0.000	0.532	0.000	0.546	0.000	0.000	0.914	0.000	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.000	1.030	1.053	0.000	0.000	0.674	0.000	0.685	0.710	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000	1.438	0.000	0.000
NAP1L3	0.000	0.459	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NASP	0.000	0.459	1.348	1.082	1.126	0.868	1.652	0.887	0.000	0.542	1.150	0.000	1.179	0.000	0.934	0.928	1.403	1.600	1.233	0.990	0.994	0.000	1.527	0.000	0.663	0.000	0.000	1.074	0.685	0.000	1.147	0.000	0.741	1.816	0.000	1.278	0.851	1.316	0.000	0.000	0.000	1.096
NAT2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NAV1	0.854	1.011	1.188	1.282	1.498	0.868	0.532	1.145	0.897	0.542	0.000	1.176	0.000	0.000	0.934	1.193	0.930	1.600	0.593	0.613	1.267	1.269	0.000	1.053	0.663	1.342	0.674	1.359	0.685	0.710	1.441	1.436	0.741	0.827	0.000	0.000	0.000	0.000	0.872	0.958	0.000	1.943
NAV2	1.029	0.000	1.486	0.000	0.527	0.000	0.532	0.539	1.362	0.000	0.542	0.558	0.000	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.000	0.000	0.000	1.741	0.664	0.674	0.000	0.000	0.000	0.000	1.143	0.741	0.827	0.839	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NBL1	0.371	0.000	0.761	0.501	0.000	0.525	0.532	0.000	0.000	0.542	0.000	0.558	0.000	0.566	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.000	0.659	0.000	1.563	0.000	0.000	0.685	0.710	1.147	0.727	0.741	0.000	0.839	0.000	0.000	0.000	0.000	0.958	0.000	1.096
NCAM1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NCAM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.914	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NCAPD2	0.371	0.773	0.997	1.590	0.000	0.000	0.532	0.887	0.897	0.542	0.000	0.558	0.000	1.398	0.000	0.568	0.569	0.000	0.000	0.613	0.994	0.617	0.000	0.659	0.663	0.664	0.000	1.074	0.000	0.000	0.730	0.727	0.741	0.827	1.289	0.000	0.000	0.860	0.000	0.958	0.000	0.000
NCAPD3	0.371	0.459	0.000	0.000	0.000	0.868	0.000	0.000	0.000	0.542	0.891	0.914	0.000	0.000	0.934	0.000	0.930	0.949	0.000	0.000	0.615	0.995	0.000	0.659	0.000	1.060	0.000	0.000	1.088	0.000	0.000	0.000	1.457	0.000	0.000	0.000	0.000	0.000	0.000	1.438	0.000	0.000
NCAPG	1.924	0.773	0.997	1.448	0.527	0.000	1.134	1.350	1.362	1.525	0.542	1.830	0.560	1.959	1.408	0.568	0.930	0.583	2.012	1.263	0.615	0.617	1.030	0.659	1.341	1.060	0.674	1.074	1.088	0.710	0.000	1.663	0.000	1.274	1.289	1.586	0.000	0.000	0.000	2.005	0.972	1.607
NCAPG2	0.371	0.459	0.000	0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.914	0.000	0.000	1.581	0.568	1.403	0.000	0.963	0.000	0.000	0.000	0.642	0.659	0.000	0.000	0.674	0.675	0.000	0.000	0.000	0.000	0.000	0.827	1.289	0.000	0.000	0.000	0.872	0.958	0.000	0.000
NCAPGP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NCAPH	1.308	0.773	0.000	0.833	0.527	0.000	0.532	0.539	1.533	0.000	1.150	0.000	0.000	0.926	0.000	0.568	0.000	0.000	0.963	0.000	0.994	0.617	0.000	1.053	1.341	0.000	0.000	1.761	0.685	1.120	1.147	0.000	0.000	0.827	0.000	0.831	1.304	0.860	0.872	1.438	0.972	0.000
NCKAP5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.569	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000
NCL	2.157	2.215	2.129	2.176	1.126	1.876	2.316	1.904	2.019	1.670	1.355	1.702	1.558	1.959	2.402	1.963	1.965	2.869	1.233	1.654	2.055	1.661	1.527	1.053	2.248	1.896	2.046	1.359	2.183	2.669	2.143	1.663	1.684	2.166	0.839	1.278	2.203	1.316	2.374	2.629	1.780	2.395
NDC1	0.371	0.000	0.000	0.833	0.000	0.000	0.532	0.000	0.000	0.891	0.542	0.000	0.000	0.000	0.000	0.000	0.569	0.583	0.593	0.990	0.615	0.000	1.030	1.053	1.058	0.664	0.674	0.000	0.685	0.000	0.000	0.000	0.000	0.000	0.839	0.000	0.851	1.316	0.000	0.958	0.000	0.000
NDC80	0.854	0.459	0.997	1.448	0.000	0.000	0.000	0.887	0.546	0.542	1.355	1.702	0.000	1.718	0.572	0.000	0.000	0.000	0.000	1.263	0.615	0.000	0.642	1.053	2.248	1.060	0.000	0.675	1.088	0.000	0.000	0.727	1.457	1.581	1.598	0.831	0.000	0.000	0.000	0.958	1.780	0.000
NDN	0.000	1.011	0.000	0.000	0.000	0.525	0.000	0.539	0.000	0.542	0.000	0.558	0.000	0.000	0.000	0.000	1.194	1.216	1.233	0.000	0.615	0.000	0.642	0.000	0.663	0.664	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.827	0.000	0.831	0.000	0.000	0.000	0.000	0.000	0.000
NDNF	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.663	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NDUFA4L2	0.000	0.000	0.000	0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.615	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NDUFAB1	0.371	0.773	0.451	1.082	0.871	1.122	1.134	0.887	0.000	0.000	0.000	0.558	0.560	0.000	1.581	0.568	0.930	0.583	1.619	0.990	0.615	0.995	1.030	0.000	1.341	1.342	0.674	0.675	0.685	0.710	0.000	0.000	0.741	0.827	0.000	1.278	0.000	0.860	0.000	0.000	1.456	0.000
NEAT1	0.371	0.459	0.000	0.501	1.126	0.000	0.532	0.000	0.897	0.000	0.000	0.558	1.179	0.000	0.572	0.568	0.000	0.583	0.593	0.000	0.000	0.995	0.642	0.000	0.000	0.000	0.674	0.000	0.000	0.000	0.730	0.000	0.741	0.000	1.834	0.000	0.000	0.000	0.872	0.000	0.000	0.000
NEB	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NEBL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NECTIN4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NEDD1	0.642	0.459	0.761	0.501	1.126	0.868	0.000	0.000	0.000	0.542	1.150	0.558	0.916	0.566	0.572	0.000	1.194	0.000	0.000	0.613	0.000	0.617	0.642	0.000	1.058	1.060	0.000	0.000	0.000	0.710	0.000	0.000	0.000	0.827	1.289	1.586	0.851	1.316	0.000	0.958	0.000	0.000
NEDD9	0.000	0.000	0.000	0.501	0.527	0.525	0.000	0.000	0.546	0.000	0.000	0.558	0.916	0.000	0.000	0.568	0.000	0.000	0.000	0.990	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.359	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NEFH	0.000	0.000	0.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.569	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.958	0.000	0.000
NEFL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NEFM	0.000	0.773	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NEGR1	0.000	0.459	0.000	0.000	0.527	0.000	0.878	0.000	0.546	0.542	0.542	0.000	0.000	0.566	0.572	0.000	0.000	0.000	0.593	0.613	0.615	0.617	0.000	0.659	1.058	0.000	0.674	0.000	0.000	0.000	0.000	1.143	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000
NEIL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NEIL3	0.854	0.000	0.451	0.501	0.527	0.525	0.532	0.539	0.546	0.891	0.542	0.558	0.000	0.926	0.000	0.928	0.569	0.000	0.593	0.613	0.000	0.000	0.000	0.659	0.000	0.000	0.000	0.000	1.088	0.000	0.000	0.727	0.000	0.000	0.000	1.586	0.000	0.000	0.000	0.000	0.000	0.000
NEK2	1.178	0.000	0.451	1.282	0.000	0.000	0.878	0.539	0.546	0.891	0.891	0.000	0.000	1.570	0.000	0.000	0.569	0.000	0.000	0.000	0.000	0.000	0.000	1.555	1.341	0.000	0.000	0.675	1.088	0.000	0.000	0.000	1.161	0.000	0.839	0.831	1.615	0.000	0.000	0.958	0.000	0.000
NEK7	0.642	1.365	0.761	1.082	1.329	1.764	1.652	0.887	1.156	1.149	1.525	0.000	1.705	1.189	1.199	0.928	2.067	1.749	0.963	0.990	1.267	0.617	1.030	0.000	0.663	1.342	1.760	1.359	1.779	1.120	1.441	1.143	1.161	1.816	2.024	2.012	0.851	0.000	1.882	1.438	0.972	2.194
NES	0.000	0.000	0.000	0.000	0.000	0.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.316	0.000	0.000	0.000	0.000
NET1	1.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.542	0.000	0.000	0.000	0.000	0.568	1.194	0.000	0.000	0.000	0.615	0.617	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.741	0.000	0.839	0.000	0.851	0.000	0.000	0.000	0.000	0.000
NETO1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NETO2	0.000	0.000	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NEURL1B	0.000	0.000	0.997	0.833	0.000	0.000	0.000	0.539	0.000	0.000	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.053	0.000	0.000	0.000	0.000	1.088	0.000	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NEXN	0.371	1.204	1.348	0.000	1.498	1.122	0.878	1.904	0.897	0.891	1.150	0.558	0.916	0.000	0.572	0.568	1.723	0.583	0.593	0.990	0.994	0.995	1.309	1.335	0.000	0.664	0.000	0.000	0.000	1.120	2.008	0.727	0.741	0.000	1.834	1.586	0.000	0.860	1.331	0.000	0.000	1.607
NFATC2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NFIB	1.178	1.011	0.451	0.000	0.000	0.868	1.338	0.000	0.546	0.000	0.000	0.558	1.179	0.000	1.199	1.574	0.000	0.949	0.000	0.000	0.000	0.617	0.000	0.000	1.058	0.664	0.000	0.000	0.685	0.000	0.730	0.000	0.000	0.000	0.839	1.278	0.851	0.000	0.000	0.000	0.000	0.000
NFKBIA	0.642	0.459	0.000	0.501	0.527	0.000	0.878	0.539	0.000	0.000	0.000	1.384	1.179	0.000	1.729	0.000	0.000	0.000	0.593	0.613	1.482	0.000	0.000	0.000	0.663	0.000	1.073	1.074	1.597	0.710	1.147	1.143	0.000	1.274	0.000	2.012	0.000	0.000	0.000	0.000	0.000	1.607
NFKBIZ	0.371	1.365	0.451	0.000	1.126	0.525	0.878	1.145	0.000	0.542	0.542	0.914	0.560	0.566	1.199	0.568	0.569	0.000	0.963	0.000	0.615	0.000	0.000	0.000	1.058	0.000	0.674	1.359	1.088	0.710	1.441	0.000	0.741	0.000	0.000	1.586	1.615	0.000	0.000	0.000	0.000	0.000
NGEF	0.000	0.000	0.000	0.000	0.527	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.000	0.000	0.593	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NGF	0.000	0.773	0.000	0.501	0.000	0.000	0.000	1.350	0.546	0.542	0.891	0.000	0.560	0.566	1.408	0.928	0.930	0.000	0.593	0.613	0.000	0.000	1.030	0.000	0.663	0.000	0.000	0.675	0.000	1.120	0.730	1.143	0.000	0.000	0.000	0.831	0.000	0.860	0.000	0.000	0.000	1.096
NGFR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NIBAN1	0.642	0.000	0.761	0.000	0.527	1.122	0.532	0.000	0.546	0.000	0.000	0.558	1.386	0.566	0.000	0.568	1.403	0.583	0.593	2.049	0.000	0.617	0.000	0.659	0.000	0.000	1.073	0.000	0.000	0.710	1.441	0.727	0.000	0.827	0.000	1.278	0.851	0.860	0.000	2.005	0.972	1.607
NIFK	0.642	0.773	0.451	0.000	1.126	0.000	0.878	0.000	1.362	0.542	0.891	0.558	0.000	0.566	0.934	0.928	0.000	0.583	0.593	0.990	0.615	0.000	0.000	0.659	1.341	0.000	1.760	0.000	1.088	0.000	1.441	0.727	0.000	0.827	1.598	0.831	0.851	0.000	0.872	0.958	0.000	0.000
NKD2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NKX3-2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NLGN1	0.000	0.000	0.451	0.000	0.000	0.000	0.000	0.887	0.000	0.000	0.000	0.558	0.560	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.331	0.000	0.000	0.000
NLN	0.642	0.459	0.997	0.833	0.527	0.000	0.878	0.539	1.156	0.542	0.542	1.176	0.000	0.566	0.572	1.193	0.930	0.583	1.233	0.000	0.000	0.617	1.030	0.659	0.663	1.060	1.073	0.000	0.000	1.120	0.730	0.000	1.457	1.581	0.000	0.000	0.851	0.000	0.000	0.958	0.972	0.000
